b'2.4 km',b'3.8 (520 Ratings)\xc2\xb7Good',b'\xe2\x82\xb91216',"b'Near Adams Creation, Victoria Layout, Bangalore\xc2\xb7\n\n\n\n\n\n\n2.4 km'"
b'7.8 km',b'4.7 (686 Ratings)\xc2\xb7Excellent',b'\xe2\x82\xb9902\xe2\x82\xb9',"b'Near Sri Ganapathi Temple, KR Layout, Bangalore\xc2\xb7\n\n\n\n\n\n\n7.8 km'"
b'5.8 km',b'4.0 (601 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb9994\xe2\x82\xb9',"b'Near Maharaja Signal, Kormangala, Bangalore\xc2\xb7\n\n\n\n\n\n\n5.8 km'"
b'8.9 km',b'4.1 (142 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb91930',"b'Near Narayana Hospital, HSR Layout, Bangalore\xc2\xb7\n\n\n\n\n\n\n8.9 km'"
b'1.9 km',b'NEW',b'\xe2\x82\xb91599',"b'Near SBBJ Bank, Gandhinagar, Bangalore\xc2\xb7\n\n\n\n\n\n\n1.9 km'"
b'2.9 km',b'4.5 (45 Ratings)\xc2\xb7Excellent',b'\xe2\x82\xb91216',"b'Railway Colony Majestic , Bangalore\xc2\xb7\n\n\n\n\n\n\n2.9 km'"
b'6.7 km',b'4.3 (1218 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb91604',"b'Near gopalan cinemas, J.P. Nagar, Bangalore\xc2\xb7\n\n\n\n\n\n\n6.7 km'"
b'3.6 km',b'NEW',b'\xe2\x82\xb91219',"b'Halasuru, Bangalore\xc2\xb7\n\n\n\n\n\n\n3.6 km'"
b'1.9 km',b'4.2 (424 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb91594',"b'Near Gandhi Nagar Park, Gandhinagar, Banglore\xc2\xb7\n\n\n\n\n\n\n1.9 km'"
b'6.9 km',b'NEW',b'\xe2\x82\xb91247',"b'India, Bangalore\xc2\xb7\n\n\n\n\n\n\n6.9 km'"
b'8.7 km',b'4.2 (571 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb9914\xe2\x82\xb9',"b'Near Lumbini Garden, Kempapur, Bangalore\xc2\xb7\n\n\n\n\n\n\n8.7 km'"
b'7.3 km',b'4.0 (315 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb9702\xe2\x82\xb9',"b'Near Msrit, Mathikere Extension, Bangalore\xc2\xb7\n\n\n\n\n\n\n7.3 km'"
b'6.1 km',b'4.0 (590 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb91014',"b'Near Total mall, Old Madiwala, Bangalore\xc2\xb7\n\n\n\n\n\n\n6.1 km'"
b'5.9 km',b'NEW',b'\xe2\x82\xb92413',"b'Near Kaveri Speciality Hospital, Madiwala, Bangalore\xc2\xb7\n\n\n\n\n\n\n5.9 km'"
b'2.1 km',b'3.8 (381 Ratings)\xc2\xb7Good',b'\xe2\x82\xb91216',"b'Near Vijayalaxmi theater, Chickpet, Bangalore\xc2\xb7\n\n\n\n\n\n\n2.1 km'"
b'7.6 km',b'4.2 (854 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb9872\xe2\x82\xb9',"b'Dodda Banasawadi Main Rd, Kalyan Nagar, Bangalore\xc2\xb7\n\n\n\n\n\n\n7.6 km'"
b'9.9 km',b'3.7 (48 Ratings)\xc2\xb7Good',b'\xe2\x82\xb91286',"b'Near SATELLITE BUSTAND, Gnanabharathi, Bangalore\xc2\xb7\n\n\n\n\n\n\n9.9 km'"
b'2.6 km',b'4.8 (282 Ratings)\xc2\xb7Excellent',b'\xe2\x82\xb9904\xe2\x82\xb9',"b'Near Majestic Railway Station, Akkipete, Bangalore\xc2\xb7\n\n\n\n\n\n\n2.6 km'"
b'9.8 km',b'4.4 (196 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb91373',"b'Near Manyata Tech Park, Byatarayanapura, Bangalore\xc2\xb7\n\n\n\n\n\n\n9.8 km'"
b'2.7 km',b'4.6 (586 Ratings)\xc2\xb7Excellent',b'\xe2\x82\xb9958\xe2\x82\xb9',"b'Near 140 Cottonpet Main road, Majestic, Bangalore\xc2\xb7\n\n\n\n\n\n\n2.7 km'"
b'7.2 km',b'5.0 (408 Ratings)\xc2\xb7Fabulous',b'\xe2\x82\xb91267',"b'Near Om Shakti Temple, Kalyan Nagar, Bangalore\xc2\xb7\n\n\n\n\n\n\n7.2 km'"
b'5.8 km',b'NEW',b'\xe2\x82\xb91498',"b'India, Bangalore\xc2\xb7\n\n\n\n\n\n\n5.8 km'"
b'5.5 km',b'4.0 (2388 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb91654',"b'Near Forum Mall, Koramangala, Bangalore\xc2\xb7\n\n\n\n\n\n\n5.5 km'"
b'3.0 km',b'3.9 (258 Ratings)\xc2\xb7Good',b'\xe2\x82\xb9855\xe2\x82\xb9',"b'Near Brand factory, Someshwara Nagar, Bangalore\xc2\xb7\n\n\n\n\n\n\n3.0 km'"
b'4.2 km',b'4.2 (301 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb9906\xe2\x82\xb9',"b'Near Bus stop, Basavanagudi, Bangalore\xc2\xb7\n\n\n\n\n\n\n4.2 km'"
b'5.3 km',b'NEW',b'\xe2\x82\xb91452',"b'Bangalore, Bangalore\xc2\xb7\n\n\n\n\n\n\n5.3 km'"
b'7.9 km',b'4.6 (665 Ratings)\xc2\xb7Excellent',b'\xe2\x82\xb9877\xe2\x82\xb9',"b'Sundar Ram Shetty Nagar, Bannerghatta, Bangalore\xc2\xb7\n\n\n\n\n\n\n7.9 km'"
b'5.2 km',b'4.1 (233 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb91669',"b'Near Domlur Flyover Junction, ISRO Colony, Bangalore\xc2\xb7\n\n\n\n\n\n\n5.2 km'"
b'5.1 km',b'4.7 (208 Ratings)\xc2\xb7Excellent',b'\xe2\x82\xb91750',"b'Near Metro Station, Indira Nagar, Bangalore\xc2\xb7\n\n\n\n\n\n\n5.1 km'"
b'5.7 km',b'4.2 (444 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb91264',"b'Near Bharat Co-Operative Bank, Indranagar, Bangalore\xc2\xb7\n\n\n\n\n\n\n5.7 km'"
b'5.1 km',b'4.2 (462 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb91651',"b'Near koramangala club, Maistripalaya, Bangalore\xc2\xb7\n\n\n\n\n\n\n5.1 km'"
